Coded_ID,Cohort,Intervention,Female,Final_grade,Final_score,Baseline_math_score,Baseline_stereotype_endorsement
174,A,1,0,1.7,52.48,-1.61,1
175,A,1,0,2.7,73.68,-0.04,3
176,A,1,0,3,77.81,1.13,3
177,A,1,0,2,64.68,0.22,2
178,A,1,1,1.7,51.78,-1.35,5
179,A,-1,0,2.7,71.65,-0.31,3
180,A,-1,0,1.7,56.13,-0.04,3
181,A,-1,0,2,64.59,-0.44,4
182,A,-1,1,1.3,49.69,0.09,1
183,A,1,1,4,87.84,-0.57,2
184,A,1,0,3.3,78.39,1.13,5
185,A,-1,0,1,45.62,-0.96,5
186,A,1,0,2.7,71.01,-0.57,2
187,A,-1,1,0,25.88,-0.83,2
188,A,1,1,2.7,71.93,-0.04,3
189,A,1,0,1,41.07,-1.09,2
190,A,-1,0,2.3,67.10,1.40,1
191,A,1,0,3.3,80.17,1.40,1
192,A,-1,1,2.3,68.77,-0.17,3
193,A,1,0,3.7,83.31,0.87,1
194,A,-1,0,2.7,74.05,-0.31,1
195,A,1,0,2,63.69,0.61,3
196,A,1,1,2.3,69.96,-0.31,1
197,A,1,0,3,77.52,0.87,3
198,A,1,0,0,26.89,-3.71,1
199,A,1,0,3.3,80.74,-0.83,3
200,A,-1,0,4,88.15,-0.04,3
201,A,1,0,2.3,70.38,-0.04,2
202,A,1,0,3.7,83.21,1.26,1
203,A,1,1,2.7,71.80,-0.04,1
204,A,1,0,2.7,72.96,-1.22,3
205,A,1,0,3,77.77,-0.44,3
206,A,1,1,1.3,48.38,-0.57,3
207,A,1,0,3.7,82.26,1.26,3
208,A,-1,0,2,63.32,-0.44,2
209,A,1,0,2.3,70.54,1.53,2
210,A,1,1,3,76.44,-0.04,1
211,A,1,0,2,61.41,0.74,1
212,A,1,0,2.7,74.51,-0.57,1
213,A,-1,0,2,66.38,-0.57,3
214,A,1,0,1.7,59.85,0.48,1
215,A,-1,1,3,76.49,-0.04,2
216,A,1,0,2.3,68.78,-1.35,1
217,A,1,0,3,76.06,1.79,3
218,A,-1,1,1.7,53.35,-0.04,1
219,A,-1,0,4,91.71,0.61,1
220,A,1,0,4,92.32,0.22,3
221,A,1,0,2.3,68.49,0.74,1
222,A,1,0,2,63.46,1.00,2
223,A,-1,0,3.7,84.34,0.22,3
224,A,-1,0,1.7,58.71,0.61,1
225,A,1,0,3.7,83.89,0.22,3
226,A,1,0,3.3,80.18,-0.83,3
227,A,1,1,2.3,67.79,-0.31,1
228,A,-1,0,4,87.37,1.92,3
229,A,1,0,3.7,85.72,0.48,3
230,A,1,1,2.7,70.94,0.09,1
231,A,1,0,3.3,79.36,0.87,2
232,A,-1,0,1.7,60.09,-0.96,3
233,A,1,0,3.7,82.87,-0.57,1
234,A,1,0,1.7,57.46,0.22,1
235,A,-1,0,NA,4.76,0.87,1
236,A,-1,1,2.3,66.68,-2.14,1
237,A,1,0,3.3,79.81,-1.48,1
238,A,-1,0,3.7,85.74,1.13,1
239,A,1,0,1.7,54.38,0.22,3
240,A,-1,1,0,50.25,-0.04,4
241,A,1,1,4,87.89,-0.04,1
242,A,1,0,2.7,73.65,0.48,4
243,A,-1,0,4,87.80,0.74,1
244,A,1,0,2.7,72.43,0.22,2
245,A,1,1,1.7,51.89,-0.57,4
246,A,1,0,2,64.18,-0.04,1
247,A,1,0,1.3,50.13,-0.83,3
248,A,1,0,2.3,70.04,0.48,2
249,A,1,0,3.7,83.75,-0.44,1
250,A,1,0,2.7,73.56,0.09,1
251,A,-1,0,2,62.27,1.40,2
252,A,1,0,3.7,82.63,0.22,1
253,A,-1,0,1.3,50.05,-0.31,5
254,A,-1,1,1.7,56.32,-1.35,4
255,A,1,1,2.7,71.52,-0.96,5
256,A,1,0,3.7,84.05,-0.04,5
257,A,1,0,2.7,73.84,-0.70,3
258,A,1,1,1.7,59.31,-1.35,1
259,A,-1,1,3.7,83.50,0.09,1
260,A,1,0,2.7,72.44,-0.31,1
261,A,-1,1,2,62.49,-1.09,5
262,A,-1,0,2,65.76,-0.96,3
263,A,-1,0,3.3,78.87,0.48,1
264,A,1,1,1.7,58.05,-0.31,1
265,A,-1,0,1.3,47.86,-0.04,2
266,A,1,0,2.3,66.68,-0.57,3
267,A,-1,1,3.7,83.07,0.48,2
268,A,-1,0,3.7,85.79,1.79,1
269,A,-1,0,2,61.38,-0.04,3
270,A,1,0,2.7,74.44,-0.57,1
271,A,-1,0,1.7,49.59,0.09,5
272,A,1,0,4,93.56,0.61,3
273,A,1,0,2.3,70.46,0.61,3
274,A,1,1,3.7,83.41,-0.57,1
275,A,-1,1,1.7,53.55,-1.22,4
276,A,-1,0,2,61.69,-0.04,3
277,A,1,1,4,90.34,0.61,2
278,A,-1,1,2,63.00,-3.71,2
279,A,-1,0,3,75.98,0.87,4
280,A,-1,0,1.7,51.82,-0.57,2
281,A,1,0,4,89.51,1.00,1
282,A,1,0,2.3,66.97,0.22,1
283,A,1,0,3.3,77.99,1.53,2
284,A,-1,0,3.3,80.34,-0.44,2
285,A,1,1,1.7,50.89,-0.44,1
286,A,1,0,3.3,81.12,0.22,1
287,A,1,0,3.3,80.98,-0.31,1
288,A,1,0,2.3,67.75,-0.17,1
289,A,-1,0,2,61.69,-0.31,1
290,A,-1,0,2.3,66.80,-1.74,1
291,A,-1,1,2.7,72.21,0.22,1
292,A,-1,1,3.3,78.88,0.09,2
293,A,-1,0,3,77.08,0.22,1
294,A,1,0,1,40.30,1.13,4
295,A,1,0,3.3,79.88,1.13,3
296,A,-1,0,3.7,83.62,0.74,4
297,A,-1,1,2,64.47,-0.57,5
298,A,-1,0,3,75.25,0.22,2
299,A,-1,0,1.7,55.48,-2.14,2
300,A,1,1,3.3,79.95,0.09,5
301,A,1,0,1.7,56.29,-1.09,3
302,A,1,0,1.7,53.97,-0.96,1
303,A,1,0,2,64.28,0.61,2
304,A,-1,0,2.7,74.41,0.22,3
305,A,1,0,2,62.57,-0.31,4
306,A,-1,0,2,65.52,2.05,1
307,A,1,0,4,93.76,0.61,1
308,A,-1,1,3,75.15,-0.70,1
309,A,-1,0,1,37.66,-2.01,4
310,A,-1,0,4,89.73,1.79,3
311,A,1,0,3.3,81.06,1.79,1
312,A,-1,0,3.7,82.26,-0.57,3
313,A,-1,0,4,98.15,0.09,2
314,A,1,0,2,65.71,-0.04,3
315,A,-1,0,4,92.37,-0.31,3
316,A,-1,0,2,62.84,-1.09,1
317,A,1,0,2.3,66.47,-0.57,5
318,A,1,0,2.3,69.41,0.74,3
319,A,1,1,3.3,78.95,-0.04,2
320,A,1,0,2.3,70.03,-0.17,3
321,A,1,0,1.7,51.96,-0.17,1
322,A,1,1,3,75.20,-0.04,4
323,A,-1,0,3.7,83.51,1.26,3
324,A,1,0,1.7,61.61,-0.44,1
325,A,1,0,2.7,72.04,-1.35,2
326,A,1,0,3.3,78.85,1.92,1
327,A,1,0,2,64.59,-0.31,2
328,A,-1,1,2,62.85,-1.35,2
329,A,1,0,1.7,61.00,-0.04,1
330,A,1,0,2.3,69.24,-0.04,3
331,A,-1,1,2.7,73.85,0.09,1
332,A,1,0,2.3,66.71,1.13,1
333,A,-1,0,4,92.92,1.66,5
334,A,-1,0,3,76.09,0.09,1
335,A,1,0,3.7,82.71,1.53,1
336,A,1,0,3,76.04,-0.04,3
337,A,-1,0,3,76.06,1.66,3
338,A,1,0,1.7,61.14,-0.04,1
339,A,-1,0,2,64.40,-1.09,1
340,A,1,1,2.3,69.02,0.22,4
341,A,1,1,2.7,72.99,-0.04,3
342,A,-1,0,2,63.05,1.53,3
343,A,1,0,3.7,85.87,1.00,3
344,A,1,1,0,33.19,-2.66,1
345,A,-1,0,2.3,70.70,-1.09,2
346,A,1,0,2.3,69.76,-0.31,2
347,A,1,1,3,74.66,0.74,1
348,A,-1,0,3,77.11,1.92,2
349,A,-1,1,2,64.96,1.92,3
350,A,1,1,1.7,56.37,-0.70,1
351,A,1,0,3,77.95,-0.83,1
352,A,-1,0,3,75.19,0.48,1
353,A,1,0,2.3,69.23,-0.17,1
354,A,1,0,4,90.33,0.61,2
355,A,-1,0,4,88.16,1.13,3
356,A,1,0,1.7,52.31,0.61,2
357,A,-1,0,2,61.98,-0.57,2
358,A,1,1,2.3,69.72,-0.04,2
359,A,1,0,2.3,66.39,-0.17,4
360,A,1,1,2.3,69.73,-0.31,1
361,A,1,0,4,87.06,-0.31,1
362,A,1,1,3.3,78.08,-0.31,5
363,A,1,1,1.7,61.42,-0.57,1
364,A,1,0,3,75.82,1.53,1
365,A,1,1,2.7,73.48,-1.35,1
366,A,-1,1,1.7,58.52,-0.57,3
367,A,1,0,0,33.72,-1.61,1
368,A,1,0,2.7,74.02,0.22,3
369,A,1,0,4,90.93,1.40,1
370,A,-1,0,2.7,71.56,1.13,4
371,A,1,0,2.7,72.38,-0.31,3
372,A,1,1,3.3,81.28,1.00,2
373,A,-1,1,2.7,71.92,0.35,1
374,A,1,0,3,76.05,0.09,1
375,A,1,0,3.7,85.13,0.22,4
376,A,-1,0,3,76.75,-0.96,1
377,A,1,0,3.3,81.21,0.09,3
378,A,1,0,3.3,78.44,0.35,1
379,A,1,0,3.7,83.74,0.48,3
380,A,-1,0,2.3,69.93,0.48,4
381,A,1,0,1.7,51.92,-0.44,1
382,A,-1,1,1.7,55.11,0.35,5
383,A,1,0,4,92.36,1.92,1
384,A,1,0,3.7,83.89,0.48,1
385,A,1,1,1.7,59.68,-0.17,1
386,A,1,0,3,74.80,0.48,2
387,A,1,1,3,75.52,-2.79,1
388,A,1,0,2.7,73.83,0.48,3
389,A,1,1,3,76.69,-1.09,5
390,A,1,0,3.3,81.70,1.92,2
391,A,-1,0,2,64.06,-0.57,2
392,A,-1,0,1.7,53.31,0.48,1
393,A,1,0,2.7,71.78,-0.96,2
394,A,1,1,1.7,54.42,-1.22,1
395,A,1,0,3,76.35,0.35,3
396,A,-1,0,2,64.96,1.53,1
397,A,1,0,2,61.31,-0.57,3
398,A,-1,1,NA,13.46,0.09,1
399,A,-1,0,3.7,85.21,0.74,1
400,A,-1,0,3.3,80.32,0.09,3
401,A,1,0,3.7,85.96,-0.04,1
402,A,1,0,2.3,69.44,1.79,1
403,A,1,0,2,64.97,-0.17,2
404,A,1,1,2.3,67.52,1.00,1
405,A,1,1,1.7,50.79,-0.57,1
406,A,1,1,2.3,66.99,0.35,2
407,A,1,0,4,92.11,1.00,4
408,A,-1,0,4,89.50,1.13,2
409,A,1,0,3.3,80.02,1.13,2
410,A,1,1,3.3,80.48,0.61,3
411,A,1,0,4,89.10,0.09,3
412,A,1,0,1.3,49.84,-0.83,1
413,A,1,0,2.7,74.10,-1.35,2
414,A,-1,0,4,93.55,1.00,1
415,A,-1,1,3.7,82.48,-0.96,3
416,A,1,0,3.3,78.95,-0.31,2
417,A,-1,0,2.7,74.35,-0.83,1
418,A,1,1,2.7,74.54,-1.88,2
419,A,-1,1,1.7,56.32,0.48,1
420,A,1,0,2,65.98,0.22,1
421,A,-1,0,4,90.31,0.74,1
422,A,1,0,3.3,78.53,0.74,2
423,A,1,0,4,90.48,2.05,4
424,A,1,1,2.7,72.04,-0.83,4
425,A,1,0,2.7,74.23,0.87,3
426,A,-1,1,2.3,68.25,1.79,2
427,A,1,0,2,62.84,1.53,1
428,A,-1,1,2.3,69.15,-0.44,1
429,A,1,0,1.7,60.53,-1.22,2
430,A,1,1,3,75.54,0.48,5
431,A,-1,0,4,86.14,1.79,3
432,A,-1,0,3.3,80.10,-0.04,1
433,A,-1,0,1.7,54.08,-1.09,3
434,A,1,1,3.7,85.93,0.35,4
435,A,1,0,3.7,85.80,0.35,3
436,A,-1,0,2.3,68.52,-0.31,1
437,A,-1,0,3,74.96,1.13,1
438,A,-1,0,2.3,67.54,0.61,2
439,A,1,1,1.7,59.34,0.22,1
440,A,-1,0,4,91.85,0.74,2
441,A,-1,0,2.7,71.39,0.48,1
442,A,-1,0,2.7,73.86,0.22,1
443,A,-1,0,2.3,69.22,-0.31,1
444,A,-1,0,2.7,71.81,-0.31,1
445,A,-1,0,3,75.72,1.53,1
446,A,-1,0,2.7,73.31,0.74,1
447,A,1,1,1.7,52.65,-0.44,2
448,A,-1,0,1.7,58.96,-0.04,1
449,A,-1,0,2.3,69.63,1.26,4
450,A,-1,0,3.7,85.63,0.48,3
451,A,1,0,1.7,55.13,-3.05,2
452,A,1,0,1.7,56.73,-0.04,2
453,A,1,1,2.3,68.75,0.22,3
454,A,1,0,1.7,59.38,-0.17,1
455,A,-1,0,3.7,83.96,1.79,1
456,A,1,1,1,35.81,-0.31,4
457,A,1,0,2.3,68.31,-0.83,2
458,A,1,0,3.7,85.02,1.00,2
459,A,1,0,2.3,67.51,-0.31,3
460,A,-1,0,2.7,72.40,-0.83,2
461,A,1,1,1,44.32,-0.31,5
462,A,-1,0,3,78.09,0.48,1
463,A,1,1,3.3,79.56,1.79,1
464,A,1,0,1.7,52.13,-0.57,1
465,B,1,1,2.7,74.15,1.54,2
466,B,1,0,2.3,68.89,-0.02,1
467,B,-1,1,1.7,62.10,1.15,1
468,B,1,0,3.7,86.91,2.07,4
469,B,1,1,1.3,52.51,-2.50,3
470,B,1,0,4,87.97,0.89,3
471,B,-1,1,1.7,64.32,-0.67,3
472,B,1,0,3.3,80.40,1.28,3
473,B,-1,0,3,75.13,-0.28,2
474,B,1,0,1.7,64.85,-0.02,3
475,B,-1,1,2.3,70.70,-0.54,1
476,B,-1,0,3.3,79.10,-0.28,3
477,B,1,0,2,65.64,-0.02,1
478,B,1,0,3,77.19,-0.02,1
479,B,-1,1,3,76.49,0.63,1
480,B,1,0,2,69.17,-1.07,2
481,B,-1,0,3.3,78.73,1.02,2
482,B,-1,1,2.3,70.70,-0.02,1
483,B,-1,0,4,99.32,0.50,4
484,B,1,1,2.7,72.11,-0.28,1
485,B,1,0,2.7,71.63,-0.15,4
486,B,-1,0,3,75.63,-0.54,3
487,B,-1,0,1.3,53.62,1.54,5
488,B,1,0,3.3,78.82,0.11,3
489,B,-1,1,2,67.54,1.67,2
490,B,1,1,3.7,84.43,0.63,1
491,B,1,0,2.7,72.47,0.11,4
492,B,-1,0,2.3,71.52,-0.28,2
493,B,1,0,3,75.80,-0.15,3
494,B,1,1,3.7,83.58,0.37,1
495,B,1,1,1.3,52.04,-0.81,3
496,B,-1,0,1.7,62.48,-1.33,3
497,B,-1,0,3.7,83.22,1.54,1
498,B,-1,0,2.7,72.18,0.11,5
499,B,1,0,2.7,73.95,-0.28,1
500,B,1,1,1.7,56.33,-1.59,1
501,B,1,0,4,90.53,0.50,4
502,B,-1,1,3,77.45,0.24,1
503,B,1,0,3.7,84.49,-0.15,1
504,B,-1,0,1.7,64.05,-1.72,2
505,B,-1,0,3,76.59,-0.94,1
506,B,1,0,1.7,62.38,0.24,4
507,B,-1,0,3.3,80.18,1.93,4
508,B,-1,0,1.7,63.80,0.11,3
509,B,-1,1,4,89.42,-0.02,1
510,B,1,0,2.7,73.40,0.37,4
511,B,-1,1,3.3,81.99,0.50,1
512,B,1,0,3.7,83.52,-1.59,4
513,B,-1,1,1.7,60.49,0.24,1
514,B,1,0,3,76.83,-0.02,3
515,B,1,0,4,91.48,1.67,2
516,B,-1,0,2,66.62,-0.02,1
517,B,1,0,2,67.74,-0.54,3
518,B,-1,1,3.7,83.27,0.50,1
519,B,1,0,4,92.38,0.11,3
520,B,1,1,3.3,80.78,0.63,1
521,B,1,1,3,78.19,-0.02,2
522,B,-1,0,3,78.24,-0.15,1
523,B,1,1,4,87.96,0.11,3
524,B,1,0,3.7,83.61,0.37,3
525,B,-1,0,4,90.78,0.89,3
526,B,1,1,1.7,62.44,-1.07,4
527,B,-1,1,2,66.32,1.15,2
528,B,-1,0,1.3,54.17,-0.94,2
529,B,-1,0,1.7,57.54,0.24,1
530,B,1,0,4,87.51,0.89,3
531,B,1,0,1.7,60.81,0.89,2
532,B,1,1,1.7,63.34,-1.33,1
533,B,1,1,3.3,79.54,0.50,1
534,B,1,0,2,67.70,-0.28,4
535,B,-1,0,4,92.42,1.80,3
536,B,1,0,2.7,72.04,0.63,5
537,B,-1,1,2.3,69.79,0.24,1
538,B,-1,0,2,68.71,-0.02,1
539,B,1,0,1.7,63.24,1.80,1
540,B,1,0,3,77.07,-0.54,1
541,B,1,1,2.3,70.17,-0.02,1
542,B,1,0,4,87.06,-0.15,1
543,B,-1,1,1,50.28,0.24,4
544,B,-1,0,3.7,82.78,0.76,3
545,B,-1,0,1.7,59.79,0.11,3
546,B,1,0,1,45.69,-0.81,3
547,B,1,1,3,78.04,1.15,1
548,B,1,0,4,92.71,-0.02,2
549,B,-1,0,3.7,86.64,0.50,2
550,B,1,0,3,74.83,1.93,2
551,B,1,0,3.7,86.43,-0.02,5
552,B,-1,0,1.7,56.05,-1.46,1
553,B,1,1,4,87.43,1.15,4
554,B,1,1,3,75.34,0.76,1
555,B,1,1,2.3,70.36,0.63,1
556,B,1,1,2,67.41,1.80,1
557,B,-1,0,3,75.14,-0.41,1
558,B,1,0,3.3,80.01,0.11,3
559,B,1,0,1.7,54.81,-0.02,3
560,B,-1,0,3.3,81.62,1.67,5
561,B,1,0,1.3,53.70,1.93,2
562,B,1,1,3,76.66,0.50,1
563,B,-1,0,1,40.40,-0.94,1
564,B,1,0,3.7,86.56,1.28,4
565,B,1,0,2.3,69.96,-0.28,1
566,B,1,0,1,46.81,-0.28,3
567,B,-1,1,1.7,64.69,-0.81,2
568,B,1,0,2,67.65,0.37,1
569,B,1,0,2.7,72.30,0.89,4
570,B,1,1,3,77.18,1.80,1
571,B,-1,0,2,68.01,0.37,1
572,B,1,0,4,94.70,0.24,1
